isbn13,title,authors,description,category,category_confidence,emotion,emotion_confidence,human_category_label,human_emotion_label
9780715629949,Euripides,Pantelis Michelakis,"Iphigenia at Aulis dramatises the myth of Iphigenia, the young virgin sacrificed by her father Agamemnon at the start of the expedition against Troy. Produced at the end of the Peloponnesian war, it explores the breakdown of social norms which turns Greeks against Greeks, men against women, and condemns young brides to death. Pantelis Michelakis examines the mythological, socio-political and institutional context, the main themes and major issues in modern criticism, and ends with an outline of performance history and reception.",Academia,0.2795593440532684,sadness,0.5471997598364451,,
,Sociology,Samuel König,,Academia,0.3568765521049499,neutral,0.6152959779972232,,
,Report of the Committee Appointed by the Prime Minister to Inquire Into the Position of Classics in the Educational System of the United Kingdom,Great Britain. Committee on Classics in the Education System of the United Kingdom,,Academia,0.9814482927322388,fear,0.4774067885648109,,
,A Handy Bibliographical Guide to the Study of the German Language and Literature for the Use of Students and Teachers of German,Karl Breul,,Academia,0.4441268146038055,neutral,0.8607260434949673,,
,"The New England Modern Language Association, an Historical Sketch",James Geddes,,Academia,0.9046629667282104,neutral,0.9202502779460864,,
,"Sociology, Race, and Ethnicity",Harry H. Bash,"Presenting an analysis of American assimilation theory Bash attempts to dissect the concept and what it has come to mean in the United States. After tracing the ""natural history"" of the assimilation notion and later its theoretical elaboration, he explores far more theoretical linkages by way of concept formation and theory construction in the area of racial and ethnic group relations.",Academia,0.3072192966938019,neutral,0.9342156337024476,,
9781040031773,Research and Publication Ethics,"Nimit Chowdhary, Sunayana, Monika Prakash","This book provides a comprehensive overview of research and publication ethics and guides young researchers on how to conduct ethical research and publish their work responsibly. It presents an understanding of ethical practices in research and how they apply to research and publication by examining the different ethical theories and their application. The book also discusses the different factors influencing ethical decision-making and probes into the ethical issues that can arise in the research process. It explores the different forms of scientific misconduct, such as data fabrication and falsification, plagiarism, and conflicts of interest, and provides strategies for ethical research. The book also details the impact of scientific misconduct on research and publication and the strategies for preventing and detecting misconduct. Aligning to the belief that promoting ethical research practices is essential for advancing science and society, this book will be helpful for young researchers, scholars, aspiring researchers, and academicians interested in ethical research practices in multiple disciplines.",Academia,0.9538586735725404,neutral,0.9193943447294316,,
9780792328155,Behavior and Its Causes,T.L. Smith,"The rise of cognitive science in the 1960s was widely heralded as a scientific revolution -- an interpretation that implied the decline and eventual death of behavioral psychology. Although many forms of behavioral psychology did indeed disappear, there was a striking exception: the program of operant psychology founded by B.F. Skinner. This program actually grew at a rapid pace during the `cognitive revolution' and shows no signs of fading away. What, then, is its place within psychology, and in particular, what is its relationship with cognitive psychology? This book attempts to answer that question. Distinguishing between operant psychology and the philosophy of radical behaviorism, it concludes that even though radical behaviorism may have been a failure, the operant program of research has been a success. Furthermore, operant psychology and cognitive psychology complement one another, each having its own domain within which it contributes something valuable to, but beyond the reach of, the other.",Academia,0.6996386647224426,fear,0.4510473010302576,,
9789371154383,Nurimal Computations,Mr. Rohit Manglik,"Numerical computation techniques are covered. Guides students to analyze algorithmic solutions, fostering expertise in computational mathematics through practical exercises and theoretical study.",Academia,0.8394231200218201,neutral,0.6251739949327458,,
,Chicorel Index to Poetry in Anthologies and Collections in Print,Marietta Chicorel,,Academia,0.3291695415973663,neutral,0.8459805381219224,,
9780309677707,Roundtable on Data Science Postsecondary Education,"National Academies of Sciences, Engineering, and Medicine, Division of Behavioral and Social Sciences and Education, Division on Engineering and Physical Sciences, Board on Science Education, Computer Science and Telecommunications Board, Committee on Applied and Theoretical Statistics, Board on Mathematical Sciences and Analytics","Established in December 2016, the National Academies of Sciences, Engineering, and Medicine's Roundtable on Data Science Postsecondary Education was charged with identifying the challenges of and highlighting best practices in postsecondary data science education. Convening quarterly for 3 years, representatives from academia, industry, and government gathered with other experts from across the nation to discuss various topics under this charge. The meetings centered on four central themes: foundations of data science; data science across the postsecondary curriculum; data science across society; and ethics and data science. This publication highlights the presentations and discussions of each meeting.",Academia,0.9958450794219972,neutral,0.6634275425835146,,
,Proceedings,American Society for Engineering Education,,Academia,0.6611452102661133,neutral,0.3960411416263475,,
9780553267600,Magician,Raymond E. Feist,"For use in schools and libraries only. Once he was an orphan called Pug, apprenticed to a sorcerer of the enchanted land of Midkemia. Then he was captured and enslaved by the Tsurani, a strange, warlike race of invaders from another world.There, in the exotic Empire of Kelewan, he earned a ne",Academia,0.6024322509765625,fear,0.7318834875070589,,
9780156260404,Diary Of Virginia Woolf Volume 5,Virginia Woolf,"Virginia Woolf was fifty-four on January 25, 1936, some three weeks after this final volume of her diary opens. Its last page was written four days before she drowned herself on March 28, 1941. Edited by Anne Olivier Bell, assisted by Andrew McNeillie; Index; maps.",Academia,0.3270519375801086,neutral,0.4158235551781748,,
9780198140818,Aristophanes' Peace,Aristophanes;S. Douglas Olson,"Aristophanes' Peace was performed at the City Dionysia in Athens in 421 BC as a decade-long war with Sparta seemed finally to be drawing to an end, and is one of only eleven extant plays by the greatest Old Comic poet. Olson's edition of the play, which replaces Platnauer's of 1969, is based on a complete new collation of the manuscripts, many of which have never been adequately reported before. The extensive commentary explores matters of all sorts, but it focuses in particular on therealities of day-to-day life in classical Athens and also examines the practical problems of staging. The substantial introduction includes essays on Aristophanes' early career, the politics of the Greek world in the late 420s, and the poet's theology.",Academia,0.2920757532119751,neutral,0.4987473680019332,,
9780618057078,The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes,"At the heart of this classic, seminal book is Julian Jaynes's still-controversial thesis that human consciousness did not begin far back in animal evolution but instead is a learned process that came about only three thousand years ago and is still developing. The implications of this revolutionary scientific paradigm extend into virtually every aspect of our psychology, our history and culture, our religion -- and indeed our future.",Academia,0.4697237014770508,neutral,0.6266244877772493,,
,Political Science,,,Academia,0.5043284893035889,neutral,0.6826337400686177,,
,Journal of Theological Studies,,,Academia,0.4000326693058014,neutral,0.5383795260470022,,
,The History of Philosophy from Thales to Comte,"George Henry Lewes, Lewes",,Academia,0.5932268500328064,neutral,0.8347229404514519,,
,A.L.A. Catalog,American Library Association,,Academia,0.6228868365287781,neutral,0.609153842797989,,
,University Register,"Northwestern University (Evanston, Ill.)",,Academia,0.9874402284622192,neutral,0.967429958594414,,
,Indiana University Bulletin,,,Academia,0.9280088543891908,neutral,0.9264106525796224,,
9780898794298,"Children's Writer's and Illustrator's Market, 1991",Writer's Digest Books,This annual brings together the two key aspects of children's (from pre-schoolers through teenagers) publishing--the writing and the illustrating--in one handy volume of book publishing and magazine markets. Writers and illustrators will find helpful articles to help them market their work in this lucrative field.,Academia,0.2944343686103821,neutral,0.874476693772763,,
,The Change.gov Agenda,"Barack Hussein Obama II, Jr. Joseph Robinette Biden","The Change.gov Agenda is an engaging anthology that captures the essence of a pivotal moment in modern political history. Through a vivid array of speeches, essays, and policy proposals, this collection presents the evolving landscape of American politics at the brink of a transformative era. The works encapsulated in this volume reflect the diversity of styles and perspectives, encapsulating the energy and aspirations of a nation seeking renewal and progress. Among the standout pieces are those that deftly merge rhetorical flair with substantive policy insights, forging a tapestry of hope and change that transcends partisan lines. Penned by noted figures like Barack Hussein Obama II and Jr. Joseph Robinette Biden, the contributions breathe life into the anthology'Äôs core themes of unity, resilience, and forward-thinking governance. The authors draw upon their extensive experiences in public service to illuminate the nuances of political discourse, offering readers a nuanced look into the historical and cultural currents that shaped their visions. This collection aligns with the broader movements advocating for inclusive governance and social justice, and constitutes a vital reflection of the collective drive towards a more equitable society. The Change.gov Agenda is a must-read for those eager to explore the crossroads of politics and literature. It opens a window into the minds of influential leaders, inviting readers to engage with the complex, multifaceted issues that define our era. Its rich tapestry of voices offers an invaluable educational experience, fostering a deeper understanding of the dynamic dialogue that characterizes modern political thought. Through its diverse contributions, this anthology beckons readers to ponder the profound implications of change and the pathways toward a vibrant civic future.",Academia,0.5807725787162781,neutral,0.720193240659911,,
,Logos,,,Academia,0.5177686214447021,neutral,0.9715293820354156,,
9781439809525,"Probability, Statistics, and Reliability for Engineers and Scientists, Third Edition","Bilal M. Ayyub, Richard H. McCuen","In a technological society, virtually every engineer and scientist needs to be able to collect, analyze, interpret, and properly use vast arrays of data. This means acquiring a solid foundation in the methods of data analysis and synthesis. Understanding the theoretical aspects is important, but learning to properly apply the theory to real-world problems is essential. Probability, Statistics, and Reliability for Engineers and Scientists, Third Edition introduces the fundamentals of probability, statistics, reliability, and risk methods to engineers and scientists for the purposes of data and uncertainty analysis and modeling in support of decision making. The third edition of this bestselling text presents probability, statistics, reliability, and risk methods with an ideal balance of theory and applications. Clearly written and firmly focused on the practical use of these methods, it places increased emphasis on simulation, particularly as a modeling tool, applying it progressively with projects that continue in each chapter. This provides a measure of continuity and shows the broad use of simulation as a computational tool to inform decision making processes. This edition also features expanded discussions of the analysis of variance, including single- and two-factor analyses, and a thorough treatment of Monte Carlo simulation. The authors not only clearly establish the limitations, advantages, and disadvantages of each method, but also show that data analysis is a continuum rather than the isolated application of different methods. Like its predecessors, this book continues to serve its purpose well as both a textbook and a reference. Ultimately, readers will find the content of great value in problem solving and decision making, particularly in practical applications.",Academia,0.5681699514389038,neutral,0.9745708812120656,,
9781625424723,Probability and Statistics with Applications: A Problem Solving Text,"Leonard Asimow, Ph.D., ASA, Mark Maxwell, Ph.D., ASA","This text is listed on the Course of Reading for SOA Exam P. Probability and Statistics with Applications is an introductory textbook designed to make the subject accessible to college freshmen and sophomores concurrent with Calc II and III, with a prerequisite of just one smester of calculus. It is organized specifically to meet the needs of students who are preparing for the Society of Actuaries qualifying Examination P and Casualty Actuarial Society's new Exam S. Sample actuarial exam problems are integrated throughout the text along with an abundance of illustrative examples and 870 exercises. The book provides the content to serve as the primary text for a standard two-semester advanced undergraduate course in mathematical probability and statistics. 2nd Edition Highlights Expansion of statistics portion to cover CAS ST and all of the statistics portion of CAS SAbundance of examples and sample exam problems for both Exams SOA P and CAS SCombines best attributes of a solid text and an actuarial exam study manual in one volumeWidely used by college freshmen and sophomores to pass SOA Exam P early in their college careersMay be used concurrently with calculus coursesNew or rewritten sections cover topics such as discrete and continuous mixture distributions, non-homogeneous Poisson processes, conjugate pairs in Bayesian estimation, statistical sufficiency, non-parametric statistics, and other topics also relevant to SOA Exam C.",Academia,0.5255811214447021,neutral,0.9268163556692348,,
,The Athenaeum,,,Academia,0.9194695353507996,neutral,0.5117964643861935,,
,NASA SP.,,,Academia,0.3953363299369812,neutral,0.8405531512237913,,
9780439517584,My First Little Readers,Liza Charlesworth,"These adorable little books, written to correlate with Guided Reading Level B, are just right for beginning readers with just a little experience! The simple, predictable stories on favorite topics such as animals, school, and ice cream include high frequency words, rhyming, repetition, and supportive illustrations that give new emergent readers the help they need to get a great start in reading! For use with Grades K-2.",Academia,0.9954875111579896,neutral,0.5517073818775362,,
