"comic_id","Title","Writer","Artist","Studio/Publisher","Release Year","Format","Theme (Color Style)","Genre","Country of Origin","Page Count","Rating (out of 10)","Status","Language","Age Rating","Awards","Volume Count"
"CMC-00001","Tiger of Zero","Gintoki Sakata","Gintoki Sakata","Shogakukan (Viz Media)","2001","Tankobon","Full Color (Special Edition)","Shoujo / Romance","Japan","890","8.0","Ongoing","Japanese","Mature","None","13"
"CMC-00002","Twisted Claw","Fumi Takahashi","Mika Sasaki","Shogakukan (Viz Media)","2015","Tankobon","Black & White","Action / Historical","Japan","2850","8.3","Completed","Japanese","Mature","None","12"
"CMC-00003","Jean Grey: Rebirth","Chip Zdarsky","Bendis","Marvel Comics","2016","Graphic Novel","Full Color","Superhero / Thriller","USA","350","7.8","Ongoing","English","Teen+","Japan Media Arts Award Winner","13"
"CMC-00004","Abyss Destiny","Yuna Yamaguchi","Yuna Yamaguchi","Kodansha (Kodansha USA)","2014","Manga Volume","Black & White","Slice of Life / Drama","Japan","592","8.7","Cancelled","Japanese","Teen+","Eisner Award Nominee","13"
"CMC-00005","After Smoke","Shannon Watters","Warren Ellis","Kodansha Comics","2005","OGN","Black & White","Romance / Drama","USA","2465","7.0","Ongoing","English","Mature","None","4"
"CMC-00006","Ghost Memory","Ryota Nakamura","Ryu Hashimoto","Shueisha (Manga Plus)","2015","Manga Volume","Black & White","Action / Fantasy","Japan","774","8.8","Completed","Japanese","All Ages","Harvey Award Nominee","34"
"CMC-00007","Ancient X","Kazushi Hagiwara","Vegeta style","Square Enix (Yen Press)","2017","Manga Volume","Black & White","Romance / Comedy","Japan","4186","8.0","Ongoing","Japanese","Mature","None","43"
"CMC-00008","Luminous Empire","Hana Yamashita","Hiroyuki Takei","Shogakukan (Viz Media)","2012","Manga Volume","Grayscale","Music / Drama","Japan","6498","8.2","Ongoing","Japanese","Mature","Harvey Award Nominee","12"
"CMC-00009","Day Fang","Akira Toriyama","Luffy style","Kodansha (Kodansha USA)","2023","Single Issue / Tankobon","Black & White","Historical / Drama","Japan","1455","8.5","Completed","Japanese","Teen+","None","19"
"CMC-00010","Immortal Knight","Vegeta style","Vegeta style","Leed-sha","2024","Digital Manga","Black & White","Historical / Drama","Japan","3693","8.0","Ongoing","Japanese","Mature","Japan Media Arts Award Winner","39"
"CMC-00011","Reborn Empire","Yori Maeda","Yori Maeda","Shueisha (Manga Plus)","2013","Manga Volume","Black & White","Seinen / Drama","Japan","5395","8.3","Completed","Japanese","Teen+","None","2"
"CMC-00012","Radiant of the Gods","Aiko Sato","Hana Yamashita","Houbunsha","2020","Digital Manga","Full Color (Special Edition)","Music / Drama","Japan","3328","8.2","Ongoing","Japanese","Mature","Eagle Award Winner","45"
"CMC-00013","Animal Man: and the Birds of Prey","Marv Wolfman","Tom King","DC (Wildstorm)","2000","Single Issue","Full Color","Superhero / Noir","USA","160","8.6","Completed","English","Mature","Eisner Award Winner","3"
"CMC-00014","Fading Protector","Akio Hayashi","Akio Hayashi","Leed-sha","2022","Digital Manga","Black & White","Action / Supernatural","Japan","1656","8.6","Ongoing","Japanese","Young Adult","None","28"
"CMC-00015","Heaven Hero","Mei Ito","Haru Ikeda","Shogakukan (Viz Media)","2021","Tankobon","Black & White","Slice of Life / Drama","Japan","1866","8.2","Completed","Japanese","Young Adult","National Book Award Finalist","44"
"CMC-00016","Crimson Online","Akio Hayashi","Akio Hayashi","Shogakukan (Viz Media)","2006","Digital Manga","Black & White","Gaming / Comedy","Japan","5605","7.8","Completed","Japanese","Teen+","None","16"
"CMC-00017","Haunted Knight Superman","Al Ewing (DC)","Chuck Dixon","DC Comics","2010","Digital Single Issue","Full Color","Crime / Noir","USA","1795","8.2","Ongoing","English","All Ages","Harvey Award Nominee","2"
"CMC-00018","Siege of Spectrum","Ta-Nehisi Coates","Jeff Parker","Marvel Comics","2026","Omnibus","Full Color (Digital)","Superhero / Horror","USA","583","8.3","Completed","English","Teen+","None","6"
"CMC-00019","Legacy Ant-Man","Kieron Gillen","Ales Kot","Marvel Comics","2001","Graphic Novel","Full Color","Superhero / Horror","USA","289","7.5","Completed","English","Mature 17+","None","8"
"CMC-00020","Star Soul","Tai Ogata","Vegeta style","Hakusensha (Dark Horse)","2019","Tankobon","Black & White","Fantasy / Adventure","Japan","3356","8.1","Completed","Japanese","All Ages","Harvey Award Nominee","3"
"CMC-00021","Ocean of the Gods","Ichigo Kurosaki style","Sasuke Uchiha style","Shueisha (Viz Media)","2018","Single Issue / Tankobon","Black & White","Gaming / Comedy","Japan","3999","7.9","Hiatus","Japanese","Mature","None","2"
