isbn13,title,authors,categories,description,published_year,average_rating,num_pages,ratings_count
9788185693941.0,Munā-Madana,Laxmi Prasad Devkota,Nepali Literature,"One of the most admired works in Nepali literature,  Muna madan is an episodic poem, a short epic narrative by the Nepalese poet Laxmi Prasad Devkota.   Just before his death in 1959, the poet made his famous statement, ""It's  alright if all of my works   are burned, except for Muna Madan.""
It describes the life of a man who has to leave his family and wife and go to Tibet to make money so that he can pay his family's debt. His dear wife Muna urges him to stay and tells him wealth means nothing but satisfaction of soul is everything but he leaves anyway. While returning he becomes sick on the way. His friends( of highers castes/race) leave him on the road to die. But he survives after a kind Tibetan helps him. The lesson the poet gives here is that greatness of a man doesn't come from which race he is born into but his actions and kindness of heart.  When he returns home, he discovers a heartbreaking truth that he cannot bear. The expression of the grief and heartbreak is truly heart rending and one cannot help reading the verses over and over. Overall, it's a great read.",1979,5.0,60,3
,Shakuntala,Laxmi Prasad Devkota,Nepali Literature,"Narrative poem on Śakuntalā, a character from the Mahābhārata.",1991,0.0,122,0
,Lakshmī nibandha-saṅgraha,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Lakshmī nibandha-saṅgraha' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1983,0.0,238,0
9780231050142.0,"Nepali visions, Nepali dreams",Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Nepali visions, Nepali dreams' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1980,0.0,170,0
,Lakshmī kathā saṅgraha,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Lakshmī kathā saṅgraha' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1975,0.0,165,0
,Mahārāṇa Pratāpa,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Mahārāṇa Pratāpa' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1967,0.0,171,0
,Nepālī śākuntala mahākāvya,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Nepālī śākuntala mahākāvya' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1962,0.0,557,0
9789937916271.0,Laxmi Nibandha Sangraha,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Laxmi Nibandha Sangraha' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1980,0.0,0,0
,Māyāvinī sarsī,Laxmi Prasad Devkota,Nepali Literature,"A Nepali literary work titled 'Māyāvinī sarsī' by Laxmi Prasad Devkota, featuring the stories, culture and voice of Nepal.",1967,0.0,69,0
9789937219174.0,Mahākavi Lakshmīprasāda Devakoṭakā khaṇḍakāvyaharu,Laxmi Prasad Devkota,Nepali Literature,Collection of narrative poems.,2009,0.0,260,0
